Client,Company Code,Accounting Document Number,Fiscal Year,Document Type,Document Date in Document,Month,Posting Date in the Document,Day On Which Accounting Document Was Entered,Invoice Document Number,Fiscal Year of Invoice,Date of the Last Document Change by Transaction,Reference Document Number,Accounting Document Key
100,CompanyCode1,1000000103,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053744,2022,,CRN733406,10000537442022
100,CompanyCode1,1000000104,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053745,2022,,INV733400,10000537452022
100,CompanyCode1,1000000105,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053746,2022,,CRN733403,10000537462022
100,CompanyCode1,1000000106,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053747,2022,,INV733405,10000537472022
100,CompanyCode1,1000000107,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053748,2022,,INV733407,10000537482022
100,CompanyCode1,1000000108,2022,Documenttype1,2022-02-24,3,2022-03-04,2022-03-04,1000053795,2022,,BY3292CZ,10000537952022
100,CompanyCode1,1000000109,2022,Documenttype1,2022-02-25,3,2022-03-04,2022-03-04,1000053799,2022,,BY9562CZ,10000537992022
100,CompanyCode1,1000000110,2022,Documenttype1,2022-02-23,3,2022-03-04,2022-03-04,1000053801,2022,,BY0702CZ,10000538012022
100,CompanyCode1,1000000111,2022,Documenttype1,2022-02-22,3,2022-03-04,2022-03-04,1000053803,2022,,294177,10000538032022
100,CompanyCode1,1000000112,2022,Documenttype1,2022-02-23,3,2022-03-04,2022-03-04,1000053804,2022,,293934,10000538042022
100,CompanyCode1,1000000113,2022,Documenttype1,2022-02-17,3,2022-03-04,2022-03-04,1000033922,2022,,293100,10000339222022
100,CompanyCode1,1000000114,2022,Documenttype1,2022-02-16,3,2022-03-04,2022-03-04,1000033923,2022,,INV-12853,10000339232022
100,CompanyCode1,1000000115,2022,Documenttype1,2022-03-02,3,2022-03-04,2022-03-04,1000033928,2022,,1273315,10000339282022
100,CompanyCode1,1000000116,2022,Documenttype1,2022-03-02,3,2022-03-04,2022-03-04,1000033929,2022,,1273310,10000339292022
100,CompanyCode1,1000000117,2022,Documenttype1,2022-03-02,3,2022-03-04,2022-03-04,1000033930,2022,,1273302,10000339302022
100,CompanyCode1,1000000118,2022,Documenttype1,2022-03-02,3,2022-03-04,2022-03-04,1000033931,2022,,1273307,10000339312022
100,CompanyCode1,1000000119,2022,Documenttype1,2022-02-25,3,2022-03-04,2022-03-04,1000033932,2022,,1271649,10000339322022
100,CompanyCode1,1000000120,2022,Documenttype1,2022-02-28,3,2022-03-07,2022-03-07,1000073794,2022,,INV733397,10000737942022
100,CompanyCode1,1000000121,2022,Documenttype1,2022-02-28,3,2022-03-07,2022-03-07,1000073795,2022,,INV733401,10000737952022
100,CompanyCode1,1000000122,2022,Documenttype1,2022-02-28,3,2022-03-07,2022-03-07,1000073796,2022,,INV733398,10000737962022
100,CompanyCode1,1000000123,2022,Documenttype1,2022-03-01,3,2022-03-08,2022-03-08,1000073800,2022,,00034626,10000738002022
100,CompanyCode1,1000000124,2022,Documenttype1,2022-03-01,3,2022-03-08,2022-03-08,1000073801,2022,,00034625,10000738012022
100,CompanyCode1,1000000125,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073849,2022,,54965,10000738492022
100,CompanyCode1,1000000126,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073850,2022,,54963,10000738502022
100,CompanyCode1,1000000127,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073851,2022,,54964,10000738512022
100,CompanyCode1,1000000128,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073852,2022,,54961,10000738522022
100,CompanyCode1,1000000129,2022,Documenttype1,2022-02-07,3,2022-03-08,2022-03-08,1000073908,2022,,161132940,10000739082022
100,CompanyCode1,1000000130,2022,Documenttype1,2022-02-22,3,2022-03-08,2022-03-08,1000073913,2022,,15-37296,10000739132022
